freq,items
0.44,29;3;145;22;18;170;?;?;?
0.42,182;11;56;145;24;147;?;?;?
0.47,11;56;29;25;17;?;?;?;?
0.45,11;29;5;22;170;24;147;?;?
0.54,182;3;145;22;170;147;?;?;?
0.49,11;56;63;170;24;?;?;?;?
0.43,182;11;3;145;24;?;?;?;?
0.4,56;5;145;17;7;?;?;?;?
0.4,182;29;69;81;?;?;?;?;?
0.44,5;145;24;143;?;?;?;?;?
0.61,69;5;22;170;?;?;?;?;?
0.4,182;56;5;145;18;147;17;?;?
0.47,11;17;22;18;24;?;?;?;?
0.44,182;27;12;81;?;?;?;?;?
0.61,5;22;170;24;147;?;?;?;?
0.41,5;22;18;7;?;?;?;?;?
0.43,12;22;170;?;?;?;?;?;?
0.45,11;25;170;147;7;?;?;?;?
0.43,69;18;147;7;143;?;?;?;?
0.47,182;57;5;145;22;24;?;?;?
0.42,11;69;145;28;88;81;?;?;?
0.46,145;18;170;147;7;?;?;?;?
0.43,11;56;69;18;147;7;?;?;?
0.41,56;5;24;17;143;?;?;?;?
0.64,182;24;147;?;?;?;?;?;?
0.46,182;69;5;18;24;?;?;?;?
0.43,11;22;170;17;143;?;?;?;?
0.62,29;3;170;147;?;?;?;?;?
0.45,182;56;69;5;170;24;?;?;?
0.44,11;69;3;145;147;?;?;?;?
0.41,71;22;170;?;?;?;?;?;?
0.44,69;145;24;143;?;?;?;?;?
